Kurtosis;Impulse factor;RMS;Margin factor;Skewness;Shape factor;Peak to peak;Crest factor;Label
2.376968831;9.546527552;1.638550335;0.008944327;0.190728678;651.3852965;0.042257329;0.014655731;1
2.67582887;9.404975947;1.796203119;0.007927749;0.148623445;660.468901;0.048439639;0.014239847;1
2.587911949;9.17690967;1.861518081;0.007499392;0.143779032;657.3597634;0.050086663;0.013960255;1
2.687241626;9.187597037;1.898528318;0.007393883;0.097515848;654.5039722;0.050569862;0.014037496;1
2.603178085;8.051891939;1.96302338;0.00624103;0.166804683;657.2282359;0.047430942;0.012251287;1
6.926741565;11.97863273;4.344780329;0.00385705;0.294882594;714.7994119;0.143172051;0.016758034;3
6.735746557;12.2294464;5.183206646;0.003302722;0.18794242;714.3914159;0.176740919;0.017118692;3
5.915634923;13.50767391;5.864248084;0.003276298;0.237289068;703.047711;0.201847698;0.019213026;3
5.73128121;11.7659375;6.795518562;0.002435234;0.26851242;710.9894349;0.214562296;0.016548681;3
5.963540014;13.5130014;7.613502433;0.002492055;0.146483838;712.2127221;0.269292146;0.018973266;3
6.453820652;11.72013386;8.032851905;0.002026357;-0.134009843;720.0238234;0.24904896;0.016277425;3
6.406749915;12.57293881;9.019901605;0.001922353;-0.038444864;725.106728;0.312043606;0.017339432;3
6.765602948;15.38795229;10.11458808;0.002115401;0.013876391;719.183844;0.393736962;0.02139641;3
6.557219108;15.50543003;10.56065236;0.00204932;0.092800622;716.4458647;0.412431738;0.021642152;3
6.38533186;13.69158072;11.02808487;0.00173985;-0.17966936;713.5782231;0.406368938;0.019187218;3
2.70267766;8.602913038;1.908844211;0.006792974;-0.057906365;663.4605556;0.049127474;0.012966729;0
2.487956804;8.004168962;2.147782016;0.005663269;-0.049743814;658.049897;0.049646868;0.012163468;0
